# Time-averaged data for fix kemolSink
# TimeStep Number-of-rows
# Row c_keSink2
1000 4
1 2.22801
2 1.64919
3 1.8647
4 2.22278
2000 4
1 2.20672
2 1.85146
3 1.95299
4 1.92168
3000 4
1 2.14426
2 2.00596
3 1.93623
4 2.01861
4000 4
1 2.10868
2 2.30775
3 1.83455
4 1.77959
5000 4
1 2.37467
2 2.03478
3 2.10897
4 1.62716
6000 4
1 2.59611
2 2.06549
3 1.78205
4 1.49482
7000 4
1 2.66284
2 1.79671
3 2.07519
4 1.61147
8000 4
1 2.96252
2 1.97351
3 1.94236
4 1.52378
9000 4
1 2.99998
2 1.96075
3 1.89047
4 1.52784
10000 4
1 2.70417
2 1.93542
3 2.12138
4 1.48081
11000 4
1 2.67762
2 1.77792
3 2.17007
4 1.66026
12000 4
1 2.33529
2 1.85438
3 2.14115
4 1.88087
13000 4
1 2.54608
2 1.64245
3 2.02848
4 1.94164
14000 4
1 2.91862
2 1.63747
3 1.81838
4 1.8118
15000 4
1 2.85788
2 1.70879
3 1.75617
4 1.94336
16000 4
1 3.12427
2 1.82575
3 1.52149
4 1.78595
17000 4
1 3.25901
2 1.51255
3 1.41232
4 2.06988
18000 4
1 3.24711
2 1.46527
3 1.60588
4 2.06846
19000 4
1 3.48782
2 1.48286
3 1.68693
4 1.86828
20000 4
1 3.54333
2 1.33062
3 1.71849
4 1.9364
21000 4
1 3.36042
2 1.43477
3 1.65845
4 1.85236
22000 4
1 3.77751
2 1.31593
3 1.46254
4 1.99545
23000 4
1 4.04144
2 1.38922
3 1.58456
4 1.70411
24000 4
1 3.86396
2 1.38601
3 1.65595
4 1.62313
25000 4
1 3.64558
2 1.41404
3 1.71122
4 1.81722
26000 4
1 3.88476
2 1.34959
3 1.70347
4 1.76516
27000 4
1 3.76886
2 1.64353
3 1.56082
4 1.78517
28000 4
1 3.84386
2 1.46895
3 1.72528
4 1.55791
29000 4
1 3.75043
2 1.47139
3 1.6561
4 1.68899
30000 4
1 3.91534
2 1.40772
3 1.70449
4 1.61384
31000 4
1 3.76078
2 1.29323
3 1.71379
4 1.77317
32000 4
1 3.56364
2 1.57678
3 1.64654
4 1.81699
33000 4
1 3.28511
2 1.61645
3 1.80219
4 1.81046
34000 4
1 3.22003
2 1.40384
3 1.69937
4 2.05927
35000 4
1 2.99449
2 1.45902
3 1.77097
4 2.29503
36000 4
1 2.72581
2 1.66377
3 1.76552
4 2.34026
37000 4
1 2.62114
2 1.9982
3 1.62644
4 2.06556
38000 4
1 2.48588
2 1.96752
3 1.75381
4 2.1121
39000 4
1 2.62981
2 2.08093
3 1.64843
4 1.79006
40000 4
1 2.56632
2 1.99677
3 1.76365
4 1.9563
41000 4
1 2.50053
2 1.8744
3 1.80133
4 1.97515
42000 4
1 2.23372
2 1.96159
3 1.80805
4 2.11143
43000 4
1 2.31979
2 1.88034
3 1.66355
4 2.20962
44000 4
1 2.32921
2 1.63274
3 1.98607
4 2.34058
45000 4
1 2.29265
2 1.93815
3 1.66212
4 2.20795
46000 4
1 2.15752
2 1.83146
3 1.9439
4 2.11734
47000 4
1 2.29959
2 2.19824
3 1.53938
4 2.11577
48000 4
1 2.10427
2 1.97462
3 1.68334
4 2.29596
49000 4
1 2.27992
2 2.06187
3 1.87313
4 1.99031
50000 4
1 2.12278
2 2.27327
3 1.55221
4 2.25704
51000 4
1 2.22005
2 2.10248
3 1.61451
4 2.25021
52000 4
1 2.1527
2 2.12255
3 1.50318
4 2.45028
53000 4
1 2.09203
2 2.15808
3 1.76718
4 2.14053
54000 4
1 2.43801
2 1.76506
3 1.55129
4 2.50334
55000 4
1 2.2279
2 1.888
3 1.61773
4 2.50439
56000 4
1 2.3391
2 1.89477
3 1.61218
4 2.36694
57000 4
1 2.40366
2 1.92065
3 1.66788
4 2.05758
58000 4
1 2.52348
2 1.90471
3 1.70203
4 1.97172
59000 4
1 2.61893
2 1.76676
3 1.95919
4 1.87349
60000 4
1 2.78431
2 2.06359
3 1.73531
4 1.67241
61000 4
1 2.85035
2 1.83854
3 1.58455
4 1.92478
62000 4
1 2.91814
2 1.9193
3 1.50791
4 1.98822
63000 4
1 2.94242
2 1.91345
3 1.65824
4 1.84799
64000 4
1 3.01933
2 1.78217
3 1.62116
4 2.01
65000 4
1 3.20804
2 1.59425
3 1.54193
4 2.04801
66000 4
1 2.93331
2 1.67095
3 1.54644
4 2.24419
67000 4
1 3.03988
2 1.77606
3 1.50438
4 2.07139
68000 4
1 2.90365
2 1.74566
3 1.65295
4 2.08505
69000 4
1 3.05289
2 1.83323
3 1.57518
4 1.81723
70000 4
1 3.1929
2 1.56727
3 1.56013
4 2.00252
71000 4
1 3.12592
2 1.74099
3 1.59288
4 1.91796
72000 4
1 3.15133
2 1.66322
3 1.41165
4 2.05144
73000 4
1 3.14266
2 1.87355
3 1.54184
4 1.8142
74000 4
1 3.18671
2 1.80086
3 1.58877
4 1.77913
75000 4
1 3.19138
2 1.73816
3 1.62678
4 1.73866
76000 4
1 3.21975
2 1.8211
3 1.56653
4 1.70541
